"","V1","V2","V3","V4"
"result.1",0,0,0.0666666666666667,0.0666666666666667
"result.2",0,0,0.142857142857143,0.125
"result.3",0,0,0.136363636363636,0.136363636363636
"result.4",0,0,0.0769230769230769,0.0769230769230769
"result.5",0,0,0.05,0.05
"result.6",0,0,0,0
"result.7",0,0,0.136363636363636,0.136363636363636
"result.8",0,0,0.12,0.12
"result.9",0,0,0.153846153846154,0.115384615384615
"result.10",0,0,0,0
"result.11",0,0,0,0
"result.12",0,0,0.0434782608695652,0.0454545454545455
"result.13",0,0,0.0454545454545455,0.0454545454545455
"result.14",0,0,0.0434782608695652,0
"result.15",0,0,0,0
"result.16",0,0,0,0
"result.17",0,0,0,0
"result.18",0,0,0.037037037037037,0.04
"result.19",0,0,0.0909090909090909,0.0869565217391304
"result.20",0,0,0.0606060606060606,0.03125
"result.21",0,0,0.171428571428571,0.194444444444444
"result.22",0,0,0,0
"result.23",0,0,0.0476190476190476,0.0454545454545455
"result.24",0,0,0.05,0.0476190476190476
"result.25",0,0,0,0
"result.26",0,0,0,0
"result.27",0,0,0.0740740740740741,0.107142857142857
"result.28",0,0,0.111111111111111,0.135135135135135
"result.29",0,0,0,0
"result.30",0,0,0.1875,0
"result.31",0,0,0.264705882352941,0.294117647058824
"result.32",0,0,0.0909090909090909,0
"result.33",0,0,0.125,0
"result.34",0,0,0.161290322580645,0.133333333333333
"result.35",0,0,0.08,0.08
"result.36",0,0,0.15,0.175
"result.37",0,0,0.08,0.0434782608695652
"result.38",0,0,0.0476190476190476,0.0454545454545455
"result.39",0,0,0.0476190476190476,0.05
"result.40",0,0,0,0
"result.41",0,0,0.19047619047619,0.146341463414634
"result.42",0,0,0.1,0.147058823529412
"result.43",0,0,0.0909090909090909,0.0909090909090909
"result.44",0,0,0.166666666666667,0.0476190476190476
"result.45",0,0,0,0
"result.46",0,0,0.264705882352941,0.257142857142857
"result.47",0,0,0.0952380952380952,0.0909090909090909
"result.48",0,0,0,0
"result.49",0,0,0,0
"result.50",0,0,0.0645161290322581,0.0645161290322581
"result.51",0,0,0,0
"result.52",0,0,0,0
"result.53",0,0,0.25,0.272727272727273
"result.54",0,0,0,0
"result.55",0,0,0,0
"result.56",0,0,0,0
"result.57",0,0,0.0952380952380952,0.0952380952380952
"result.58",0,0,0.15,0.136363636363636
"result.59",0,0,0.04,0.0416666666666667
"result.60",0,0,0,0
"result.61",0,0,0,0
"result.62",0,0,0.125,0.16
"result.63",0,0,0.0434782608695652,0.0454545454545455
"result.64",0,0,0,0
"result.65",0,0,0,0
"result.66",0,0,0.09375,0.0909090909090909
"result.67",0,0,0.166666666666667,0.193548387096774
"result.68",0,0,0,0
"result.69",0,0,0.135135135135135,0.219512195121951
"result.70",0,0,0.111111111111111,0.142857142857143
"result.71",0,0,0,0
"result.72",0,0,0,0
"result.73",0,0,0.0357142857142857,0.037037037037037
"result.74",0,0,0,0.15
"result.75",0,0,0.0384615384615385,0.0384615384615385
"result.76",0,0,0.0454545454545455,0.125
"result.77",0,0,0.0952380952380952,0
"result.78",0,0,0.0416666666666667,0.04
"result.79",0,0,0.193548387096774,0.0434782608695652
"result.80",0,0,0,0
"result.81",0,0,0.138888888888889,0
"result.82",0,0,0.227272727272727,0.19047619047619
"result.83",0,0,0.0476190476190476,0.0909090909090909
"result.84",0,0,0,0
"result.85",0,0,0,0
"result.86",0,0,0,0
"result.87",0,0,0,0
"result.88",0,0,0.125,0.130434782608696
"result.89",0,0,0.0952380952380952,0.136363636363636
"result.90",0,0,0.0714285714285714,0
"result.91",0,0,0.0869565217391304,0.0869565217391304
"result.92",0,0,0.138888888888889,0.175
"result.93",0,0,0.0833333333333333,0.0833333333333333
"result.94",0,0,0,0
"result.95",0,0,0.107142857142857,0.115384615384615
"result.96",0,0,0.0454545454545455,0.0476190476190476
"result.97",0,0,0.129032258064516,0.15625
"result.98",0,0,0,0
"result.99",0,0,0,0
"result.100",0,0,0,0.225806451612903
