"","V1","V2","V3","V4"
"result.1",0.97,0,1,1
"result.2",0.99,0,1,1
"result.3",0.99,0,1,1
"result.4",0.99,0,1,1
"result.5",1,0,1,1
"result.6",0.97,0,1,1
"result.7",0.98,0,0.99,0.99
"result.8",0.98,0,1,1
"result.9",0.98,0,1,1
"result.10",1,0,1,1
"result.11",0.99,0,1,1
"result.12",0.99,0,1,1
"result.13",0.94,0,1,1
"result.14",0.97,0,1,1
"result.15",0.98,0,1,1
"result.16",0.97,0,1,1
"result.17",0.98,0,1,1
"result.18",0.98,0,1,1
"result.19",1,0,1,1
"result.20",0.99,0,1,1
"result.21",0.99,0,1,1
"result.22",1,0,1,1
"result.23",0.99,0,1,1
"result.24",0.99,0,1,1
"result.25",0.99,0,1,1
"result.26",0.99,0,1,1
"result.27",0.99,0,1,1
"result.28",0.98,0,1,1
"result.29",1,0,1,1
"result.30",0.97,0,1,1
"result.31",0.98,0,1,1
"result.32",0.98,0,1,1
"result.33",0.99,0,1,1
"result.34",0.99,0,1,1
"result.35",0.98,0,1,1
"result.36",0.97,0,1,1
"result.37",0.97,0,1,1
"result.38",0.98,0,1,1
"result.39",0.96,0,1,1
"result.40",0.99,0,1,1
"result.41",1,0,1,1
"result.42",0.98,0,1,1
"result.43",0.98,0,1,1
"result.44",0.98,0,1,1
"result.45",0.99,0,0.99,0.99
"result.46",0.99,0,1,1
"result.47",0.99,0,1,1
"result.48",0.99,0,1,1
"result.49",0.99,0,1,1
"result.50",0.98,0,1,1
"result.51",0.99,0,1,1
"result.52",0.97,0,1,1
"result.53",0.98,0,1,1
"result.54",1,0,1,1
"result.55",1,0,1,1
"result.56",0.98,0,1,1
"result.57",0.97,0,1,1
"result.58",0.99,0,1,1
"result.59",0.98,0,1,1
"result.60",0.99,0,1,1
"result.61",0.98,0,1,1
"result.62",0.99,0,1,1
"result.63",0.95,0,1,1
"result.64",1,0,1,1
"result.65",0.96,0,1,1
"result.66",0.99,0,1,1
"result.67",0.98,0,1,1
"result.68",0.99,0,1,1
"result.69",0.99,0,1,1
"result.70",0.96,0,1,1
"result.71",0.97,0,0.99,0.99
"result.72",1,0,1,1
"result.73",0.98,0,1,1
"result.74",0.99,0,1,1
"result.75",0.99,0,1,1
"result.76",0.98,0,1,1
"result.77",0.99,0,1,1
"result.78",0.96,0,1,1
"result.79",1,0,1,1
"result.80",1,0,1,1
"result.81",0.99,0,1,1
"result.82",0.98,0,1,1
"result.83",0.98,0,1,1
"result.84",0.99,0,1,1
"result.85",0.97,0,1,1
"result.86",0.99,0,1,1
"result.87",0.95,0,1,1
"result.88",0.99,0,1,1
"result.89",0.97,0,1,1
"result.90",1,0,1,1
"result.91",1,0,1,1
"result.92",0.99,0,1,1
"result.93",0.98,0,0.99,0.99
"result.94",0.99,0,1,1
"result.95",0.98,0,1,1
"result.96",0.99,0,1,1
"result.97",0.96,0,1,1
"result.98",0.98,0,1,1
"result.99",0.98,0,1,1
"result.100",0.96,0,1,1
