"","V1","V2","V3","V4"
"result.1",0.98,0,0.98,0.98
"result.2",1,0,1,1
"result.3",0.98,0,0.99,0.99
"result.4",0.98,0,0.98,0.98
"result.5",0.99,0,0.99,0.99
"result.6",0.98,0,0.98,0.98
"result.7",0.97,0,0.97,0.97
"result.8",0.99,0,1,1
"result.9",0.97,0,0.97,0.97
"result.10",0.94,0,0.96,0.97
"result.11",1,0,1,1
"result.12",1,0,1,1
"result.13",1,0,1,1
"result.14",0.99,0,0.99,0.99
"result.15",0.99,0,0.99,0.99
"result.16",1,0,1,1
"result.17",1,0,1,1
"result.18",1,0,1,1
"result.19",0.99,0,0.99,0.99
"result.20",0.99,0,1,1
"result.21",0.97,0,0.97,0.96
"result.22",0.97,0,0.96,0.96
"result.23",0.98,0,0.98,0.98
"result.24",1,0,1,1
"result.25",0.98,0,0.98,0.98
"result.26",1,0,1,1
"result.27",0.98,0,0.99,0.99
"result.28",0.99,0,0.99,0.99
"result.29",0.98,0,0.98,0.98
"result.30",1,0,1,1
"result.31",0.99,0,0.99,0.99
"result.32",1,0,1,1
"result.33",0.99,0,0.99,0.99
"result.34",0.97,0,0.98,0.99
"result.35",1,0,1,1
"result.36",0.97,0,0.97,0.97
"result.37",0.99,0,0.99,0.99
"result.38",1,0,1,1
"result.39",0.98,0,0.98,0.98
"result.40",1,0,1,1
"result.41",0.99,0,0.99,0.99
"result.42",0.99,0,0.99,0.99
"result.43",1,0,1,1
"result.44",0.99,0,0.99,0.99
"result.45",1,0,1,1
"result.46",0.99,0,1,1
"result.47",1,0,1,1
"result.48",0.99,0,0.99,0.99
"result.49",1,0,1,1
"result.50",0.99,0,0.99,0.99
"result.51",0.98,0,0.99,0.99
"result.52",1,0,1,1
"result.53",1,0,1,1
"result.54",1,0,1,1
"result.55",1,0,1,1
"result.56",0.98,0,0.98,0.98
"result.57",0.99,0,0.99,0.99
"result.58",0.99,0,1,1
"result.59",0.98,0,0.98,0.98
"result.60",1,0,1,1
"result.61",0.98,0,1,1
"result.62",0.99,0,1,1
"result.63",0.97,0,0.97,0.99
"result.64",1,0,1,1
"result.65",1,0,1,1
"result.66",0.99,0,0.99,0.99
"result.67",0.96,0,0.98,0.99
"result.68",0.98,0,0.98,0.98
"result.69",1,0,0.99,0.99
"result.70",0.99,0,0.99,0.99
"result.71",1,0,1,1
"result.72",0.99,0,0.99,0.99
"result.73",1,0,1,1
"result.74",1,0,1,1
"result.75",0.99,0,0.99,0.99
"result.76",0.98,0,0.98,0.98
"result.77",0.99,0,0.99,1
"result.78",0.97,0,0.97,0.97
"result.79",0.98,0,0.98,0.98
"result.80",0.98,0,0.99,0.99
"result.81",0.98,0,0.99,0.99
"result.82",0.99,0,0.99,0.99
"result.83",0.98,0,0.98,0.98
"result.84",1,0,1,1
"result.85",0.98,0,0.98,0.98
"result.86",1,0,1,1
"result.87",0.97,0,0.99,0.99
"result.88",0.96,0,0.96,0.96
"result.89",0.95,0,0.97,0.97
"result.90",1,0,1,1
"result.91",0.99,0,0.99,0.99
"result.92",0.98,0,0.98,0.98
"result.93",0.98,0,0.99,0.99
"result.94",0.98,0,0.99,0.99
"result.95",0.97,0,0.99,0.99
"result.96",0.99,0,0.99,0.99
"result.97",0.99,0,1,1
"result.98",0.98,0,0.98,0.98
"result.99",0.99,0,0.99,0.99
"result.100",0.99,0,0.99,0.99
