"","V1","V2","V3","V4"
"result.1",0,0,0.101010101010101,0.0918367346938776
"result.2",0,0,0.0326086956521739,0.0227272727272727
"result.3",0,0,0.25,0.216666666666667
"result.4",0,0,0.0638297872340425,0.0927835051546392
"result.5",0,0,0.07,0.0520833333333333
"result.6",0,0,0.151785714285714,0.160714285714286
"result.7",0,0,0.133928571428571,0.0961538461538462
"result.8",0,0,0.0526315789473684,0.0425531914893617
"result.9",0,0,0.102803738317757,0.05
"result.10",0,0,0.256,0.206896551724138
"result.11",0,0,0.0808080808080808,0.0891089108910891
"result.12",0,0,0.0891089108910891,0.099009900990099
"result.13",0,0,0.08,0.108910891089109
"result.14",0,0,0.104761904761905,0.0606060606060606
"result.15",0,0,0.0769230769230769,0.0857142857142857
"result.16",0,0,0.102803738317757,0.0505050505050505
"result.17",0,0,0.126126126126126,0.17948717948718
"result.18",0,0,0.173913043478261,0.15929203539823
"result.19",0,0,0.111111111111111,0.087378640776699
"result.20",0,0,0.0952380952380952,0.0952380952380952
"result.21",0,0,0.0520833333333333,0.0721649484536082
"result.22",0,0,0.0943396226415094,0.0769230769230769
"result.23",0,0,0.133333333333333,0.125
"result.24",0,0,0.0816326530612245,0.0909090909090909
"result.25",0,0,0.125,0.12621359223301
"result.26",0,0,0.104761904761905,0.141509433962264
"result.27",0,0,0.127272727272727,0.113207547169811
"result.28",0,0,0.19672131147541,0.204918032786885
"result.29",0,0,0.104761904761905,0.148148148148148
"result.30",0,0,0.0882352941176471,0.0212765957446809
"result.31",0,0,0.117117117117117,0.0943396226415094
"result.32",0,0,0.0729166666666667,0.0816326530612245
"result.33",0,0,0.0980392156862745,0.115384615384615
"result.34",0,0,0.196428571428571,0.207207207207207
"result.35",0,0,0.111111111111111,0.0952380952380952
"result.36",0,0,0.0315789473684211,0.0212765957446809
"result.37",0,0,0.0520833333333333,0.0326086956521739
"result.38",0,0,0.0943396226415094,0.0526315789473684
"result.39",0,0,0.0927835051546392,0.0842105263157895
"result.40",0,0,0.0531914893617021,0.0112359550561798
"result.41",0,0,0.138888888888889,0.0833333333333333
"result.42",0,0,0.0612244897959184,0.0618556701030928
"result.43",0,0,0.0618556701030928,0.0531914893617021
"result.44",0,0,0.0891089108910891,0.154545454545455
"result.45",0,0,0.0495049504950495,0.0792079207920792
"result.46",0,0,0.151785714285714,0.0693069306930693
"result.47",0,0,0.0434782608695652,0.0729166666666667
"result.48",0,0,0.0425531914893617,0.128712871287129
"result.49",0,0,0.102803738317757,0.142857142857143
"result.50",0,0,0.0679611650485437,0.0865384615384615
"result.51",0,0,0.0707070707070707,0.0319148936170213
"result.52",0,0,0.0686274509803922,0.0412371134020619
"result.53",0,0,0.116071428571429,0.126126126126126
"result.54",0,0,0.136363636363636,0.136363636363636
"result.55",0,0,0.11,0.12
"result.56",0,0,0.150442477876106,0.136363636363636
"result.57",0,0,0.116504854368932,0.09
"result.58",0,0,0.0686274509803922,0.0693069306930693
"result.59",0,0,0.135922330097087,0.102040816326531
"result.60",0,0,0.0970873786407767,0.08
"result.61",0,0,0.1,0.099009900990099
"result.62",0,0,0.05,0.07
"result.63",0,0,0.113207547169811,0.104761904761905
"result.64",0,0,0.15929203539823,0.216666666666667
"result.65",0,0,0.0909090909090909,0.1
"result.66",0,0,0.0638297872340425,0.0549450549450549
"result.67",0,0,0.111111111111111,0.0865384615384615
"result.68",0,0,0.128712871287129,0.112244897959184
"result.69",0,0,0.108910891089109,0.108910891089109
"result.70",0,0,0.0679611650485437,0.0408163265306122
"result.71",0,0,0,0
"result.72",0,0,0.134615384615385,0.134615384615385
"result.73",0,0,0.133333333333333,0.12621359223301
"result.74",0,0,0.0980392156862745,0.106796116504854
"result.75",0,0,0.0776699029126214,0.0693069306930693
"result.76",0,0,0.104761904761905,0.176991150442478
"result.77",0,0,0.104761904761905,0.0970873786407767
"result.78",0,0,0.0952380952380952,0.11214953271028
"result.79",0,0,0.102803738317757,0.135135135135135
"result.80",0,0,0.10377358490566,0.0952380952380952
"result.81",0,0,0.0961538461538462,0.125
"result.82",0,0,0.0961538461538462,0.14018691588785
"result.83",0,0,0.128712871287129,0.12
"result.84",0,0,0.153153153153153,0.130841121495327
"result.85",0,0,0.0222222222222222,0.0333333333333333
"result.86",0,0,0.0792079207920792,0.0792079207920792
"result.87",0,0,0.099009900990099,0.0833333333333333
"result.88",0,0,0.0520833333333333,0.08
"result.89",0,0,0.0792079207920792,0.087378640776699
"result.90",0,0,0.155963302752294,0.1
"result.91",0,0,0.0792079207920792,0.106796116504854
"result.92",0,0,0.19672131147541,0.183333333333333
"result.93",0,0,0.08,0.0927835051546392
"result.94",0,0,0.0761904761904762,0.110091743119266
"result.95",0,0,0.0606060606060606,0.116504854368932
"result.96",0,0,0.0980392156862745,0.123809523809524
"result.97",0,0,0.0204081632653061,0.0679611650485437
"result.98",0,0,0.0421052631578947,0.0344827586206897
"result.99",0,0,0.107843137254902,0.0918367346938776
"result.100",0,0,0.135135135135135,0.0769230769230769
