"","V1","V2","V3","V4"
"result.1",0,0,0.0686274509803922,0.0693069306930693
"result.2",0,0,0.0808080808080808,0.0891089108910891
"result.3",0,0,0.0714285714285714,0.0714285714285714
"result.4",0,0,0.0594059405940594,0.0594059405940594
"result.5",0,0,0.021978021978022,0.021978021978022
"result.6",0,0,0.182608695652174,0.168141592920354
"result.7",0,0,0.107843137254902,0.107843137254902
"result.8",0,0,0.0882352941176471,0.0882352941176471
"result.9",0,0,0.0784313725490196,0.0784313725490196
"result.10",0,0,0.102040816326531,0.105263157894737
"result.11",0,0,0.123809523809524,0.132075471698113
"result.12",0,0,0.0520833333333333,0.0421052631578947
"result.13",0,0,0.104761904761905,0.104761904761905
"result.14",0,0,0.032258064516129,0.0319148936170213
"result.15",0,0,0.153153153153153,0.138888888888889
"result.16",0,0,0.108910891089109,0.117647058823529
"result.17",0,0,0.123809523809524,0.115384615384615
"result.18",0,0,0.122641509433962,0.138888888888889
"result.19",0,0,0.107843137254902,0.09
"result.20",0,0,0.0714285714285714,0.0714285714285714
"result.21",0,0,0.0952380952380952,0.0952380952380952
"result.22",0,0,0.127450980392157,0.118811881188119
"result.23",0,0,0.0693069306930693,0.07
"result.24",0,0,0.074468085106383,0.074468085106383
"result.25",0,0,0.121495327102804,0.113207547169811
"result.26",0,0,0.0612244897959184,0.07
"result.27",0,0,0.0686274509803922,0.0686274509803922
"result.28",0,0,0.06,0.06
"result.29",0,0,0.0404040404040404,0.0404040404040404
"result.30",0,0,0.127272727272727,0.119266055045872
"result.31",0,0,0.087378640776699,0.0865384615384615
"result.32",0,0,0.0217391304347826,0.0217391304347826
"result.33",0,0,0.0980392156862745,0.0891089108910891
"result.34",0,0,0.102803738317757,0.0943396226415094
"result.35",0,0,0.032258064516129,0.032258064516129
"result.36",0,0,0.12962962962963,0.121495327102804
"result.37",0,0,0.0776699029126214,0.0865384615384615
"result.38",0,0,0.136363636363636,0.128440366972477
"result.39",0,0,0.0776699029126214,0.0865384615384615
"result.40",0,0,0.12037037037037,0.142857142857143
"result.41",0,0,0.032258064516129,0.032258064516129
"result.42",0,0,0.118811881188119,0.127450980392157
"result.43",0,0,0.114285714285714,0.0970873786407767
"result.44",0,0,0.043010752688172,0.043010752688172
"result.45",0,0,0.147058823529412,0.121212121212121
"result.46",0,0,0.06,0.0784313725490196
"result.47",0,0,0.144144144144144,0.144144144144144
"result.48",0,0,0.123893805309735,0.116071428571429
"result.49",0,0,0.123809523809524,0.123809523809524
"result.50",0,0,0.121495327102804,0.144144144144144
"result.51",0,0,0.106796116504854,0.106796116504854
"result.52",0,0,0.0784313725490196,0.0784313725490196
"result.53",0,0,0.102803738317757,0.102803738317757
"result.54",0,0,0.139130434782609,0.123893805309735
"result.55",0,0,0.119266055045872,0.102803738317757
"result.56",0,0,0.0594059405940594,0.0594059405940594
"result.57",0,0,0.08,0.08
"result.58",0,0,0.0421052631578947,0.0425531914893617
"result.59",0,0,0.201754385964912,0.194690265486726
"result.60",0,0,0.0618556701030928,0.0618556701030928
"result.61",0,0,0.0625,0.0625
"result.62",0,0,0.189655172413793,0.168141592920354
"result.63",0,0,0.0952380952380952,0.10377358490566
"result.64",0,0,0.108910891089109,0.108910891089109
"result.65",0,0,0.0537634408602151,0.1
"result.66",0,0,0.0204081632653061,0.0204081632653061
"result.67",0,0,0.0980392156862745,0.0808080808080808
"result.68",0,0,0.0961538461538462,0.0961538461538462
"result.69",0,0,0.0943396226415094,0.0952380952380952
"result.70",0,0,0.117647058823529,0.117647058823529
"result.71",0,0,0.153153153153153,0.160714285714286
"result.72",0,0,0.0865384615384615,0.0952380952380952
"result.73",0,0,0.0686274509803922,0.0686274509803922
"result.74",0,0,0.0333333333333333,0.0333333333333333
"result.75",0,0,0.0891089108910891,0.0980392156862745
"result.76",0,0,0.12037037037037,0.12037037037037
"result.77",0,0,0.0408163265306122,0.0408163265306122
"result.78",0,0,0.118811881188119,0.118811881188119
"result.79",0,0,0.0526315789473684,0.0425531914893617
"result.80",0,0,0.0618556701030928,0.0618556701030928
"result.81",0,0,0.142857142857143,0.150442477876106
"result.82",0,0,0.0520833333333333,0.0520833333333333
"result.83",0,0,0.0594059405940594,0.05
"result.84",0,0,0.107843137254902,0.099009900990099
"result.85",0,0,0.121495327102804,0.121495327102804
"result.86",0,0,0.0891089108910891,0.08
"result.87",0,0,0.0631578947368421,0.0625
"result.88",0,0,0.0857142857142857,0.0857142857142857
"result.89",0,0,0.0882352941176471,0.0882352941176471
"result.90",0,0,0.135135135135135,0.145454545454545
"result.91",0,0,0.132743362831858,0.132743362831858
"result.92",0,0,0.166666666666667,0.166666666666667
"result.93",0,0,0.116504854368932,0.108910891089109
"result.94",0,0,0.0693069306930693,0.07
"result.95",0,0,0.149532710280374,0.141509433962264
"result.96",0,0,0.105769230769231,0.0891089108910891
"result.97",0,0,0.021505376344086,0.0319148936170213
"result.98",0,0,0.0792079207920792,0.07
"result.99",0,0,0.0980392156862745,0.106796116504854
"result.100",0,0,0.182608695652174,0.182608695652174
