"","V1","V2","V3","V4"
"result.1",0.5,0,0.95,0.94
"result.2",0.44,0,0.91,0.92
"result.3",0.6,0,0.91,0.91
"result.4",0.57,0,0.95,0.95
"result.5",0.46,0,0.89,0.89
"result.6",0.48,0,0.94,0.94
"result.7",0.52,0,0.91,0.91
"result.8",0.51,0,0.93,0.93
"result.9",0.72,0,0.94,0.94
"result.10",0.48,0,0.88,0.85
"result.11",0.64,0,0.92,0.92
"result.12",0.62,0,0.91,0.91
"result.13",0.53,0,0.94,0.94
"result.14",0.49,0,0.9,0.91
"result.15",0.58,0,0.94,0.93
"result.16",0.54,0,0.9,0.9
"result.17",0.51,0,0.92,0.92
"result.18",0.48,0,0.93,0.93
"result.19",0.58,0,0.91,0.91
"result.20",0.53,0,0.91,0.91
"result.21",0.43,0,0.95,0.95
"result.22",0.48,0,0.89,0.89
"result.23",0.52,0,0.94,0.93
"result.24",0.45,0,0.87,0.87
"result.25",0.51,0,0.94,0.94
"result.26",0.52,0,0.92,0.93
"result.27",0.51,0,0.95,0.95
"result.28",0.54,0,0.94,0.94
"result.29",0.55,0,0.95,0.95
"result.30",0.57,0,0.96,0.96
"result.31",0.48,0,0.94,0.95
"result.32",0.55,0,0.9,0.9
"result.33",0.57,0,0.92,0.92
"result.34",0.54,0,0.96,0.96
"result.35",0.47,0,0.9,0.9
"result.36",0.64,0,0.94,0.94
"result.37",0.56,0,0.95,0.95
"result.38",0.44,0,0.95,0.95
"result.39",0.39,0,0.95,0.95
"result.40",0.5,0,0.95,0.96
"result.41",0.44,0,0.9,0.9
"result.42",0.51,0,0.89,0.89
"result.43",0.63,0,0.93,0.93
"result.44",0.55,0,0.89,0.89
"result.45",0.43,0,0.87,0.87
"result.46",0.44,0,0.94,0.94
"result.47",0.57,0,0.95,0.95
"result.48",0.61,0,0.99,0.99
"result.49",0.43,0,0.92,0.92
"result.50",0.55,0,0.94,0.95
"result.51",0.56,0,0.92,0.92
"result.52",0.49,0,0.94,0.94
"result.53",0.54,0,0.96,0.96
"result.54",0.52,0,0.99,0.99
"result.55",0.49,0,0.96,0.96
"result.56",0.53,0,0.95,0.95
"result.57",0.52,0,0.92,0.92
"result.58",0.5,0,0.91,0.9
"result.59",0.49,0,0.91,0.91
"result.60",0.55,0,0.91,0.91
"result.61",0.52,0,0.9,0.9
"result.62",0.51,0,0.94,0.94
"result.63",0.53,0,0.95,0.95
"result.64",0.54,0,0.9,0.9
"result.65",0.42,0,0.88,0.9
"result.66",0.69,0,0.96,0.96
"result.67",0.46,0,0.92,0.91
"result.68",0.56,0,0.94,0.94
"result.69",0.58,0,0.96,0.95
"result.70",0.44,0,0.9,0.9
"result.71",0.55,0,0.94,0.94
"result.72",0.51,0,0.95,0.95
"result.73",0.54,0,0.95,0.95
"result.74",0.58,0,0.87,0.87
"result.75",0.46,0,0.92,0.92
"result.76",0.39,0,0.95,0.95
"result.77",0.5,0,0.94,0.94
"result.78",0.46,0,0.89,0.89
"result.79",0.62,0,0.9,0.9
"result.80",0.41,0,0.91,0.91
"result.81",0.54,0,0.96,0.96
"result.82",0.54,0,0.91,0.91
"result.83",0.57,0,0.95,0.95
"result.84",0.56,0,0.91,0.91
"result.85",0.57,0,0.94,0.94
"result.86",0.48,0,0.92,0.92
"result.87",0.57,0,0.89,0.9
"result.88",0.63,0,0.96,0.96
"result.89",0.6,0,0.93,0.93
"result.90",0.59,0,0.96,0.94
"result.91",0.52,0,0.98,0.98
"result.92",0.55,0,0.95,0.95
"result.93",0.47,0,0.91,0.9
"result.94",0.48,0,0.94,0.93
"result.95",0.55,0,0.91,0.91
"result.96",0.48,0,0.93,0.92
"result.97",0.46,0,0.91,0.91
"result.98",0.51,0,0.93,0.93
"result.99",0.45,0,0.92,0.92
"result.100",0.45,0,0.94,0.94
