"","V1","V2","V3","V4"
"result.1",0.52,0,0.55,0.55
"result.2",0.56,0,0.6,0.59
"result.3",0.46,0,0.44,0.45
"result.4",0.6,0,0.63,0.63
"result.5",0.57,0,0.67,0.66
"result.6",0.5,0,0.5,0.46
"result.7",0.42,0,0.51,0.55
"result.8",0.45,0,0.54,0.55
"result.9",0.52,0,0.47,0.47
"result.10",0.41,0,0.46,0.46
"result.11",0.48,0,0.53,0.51
"result.12",0.54,0,0.64,0.64
"result.13",0.45,0,0.55,0.57
"result.14",0.52,0,0.56,0.56
"result.15",0.49,0,0.49,0.49
"result.16",0.48,0,0.46,0.48
"result.17",0.51,0,0.47,0.46
"result.18",0.4,0,0.58,0.57
"result.19",0.53,0,0.53,0.53
"result.20",0.44,0,0.23,0.25
"result.21",0.64,0,0.54,0.54
"result.22",0.64,0,0.66,0.69
"result.23",0.58,0,0.66,0.66
"result.24",0.52,0,0.58,0.58
"result.25",0.51,0,0.62,0.64
"result.26",0.49,0,0.48,0.48
"result.27",0.57,0,0.57,0.58
"result.28",0.45,0,0.41,0.42
"result.29",0.45,0,0.38,0.38
"result.30",0.44,0,0.46,0.4
"result.31",0.56,0,0.65,0.66
"result.32",0.54,0,0.58,0.58
"result.33",0.56,0,0.61,0.63
"result.34",0.45,0,0.5,0.49
"result.35",0.61,0,0.69,0.71
"result.36",0.63,0,0.65,0.67
"result.37",0.53,0,0.49,0.47
"result.38",0.51,0,0.58,0.57
"result.39",0.48,0,0.49,0.49
"result.40",0.56,0,0.53,0.45
"result.41",0.49,0,0.54,0.52
"result.42",0.51,0,0.51,0.53
"result.43",0.44,0,0.48,0.49
"result.44",0.5,0,0.51,0.51
"result.45",0.55,0,0.6,0.59
"result.46",0.56,0,0.62,0.6
"result.47",0.52,0,0.62,0.62
"result.48",0.49,0,0.57,0.56
"result.49",0.41,0,0.54,0.57
"result.50",0.53,0,0.63,0.63
"result.51",0.47,0,0.63,0.61
"result.52",0.44,0,0.44,0.44
"result.53",0.57,0,0.57,0.56
"result.54",0.46,0,0.45,0.39
"result.55",0.63,0,0.62,0.64
"result.56",0.53,0,0.54,0.55
"result.57",0.4,0,0.38,0.4
"result.58",0.6,0,0.58,0.57
"result.59",0.52,0,0.5,0.48
"result.60",0.56,0,0.54,0.53
"result.61",0.51,0,0.55,0.55
"result.62",0.52,0,0.49,0.48
"result.63",0.47,0,0.47,0.48
"result.64",0.46,0,0.49,0.49
"result.65",0.6,0,0.63,0.63
"result.66",0.45,0,0.51,0.46
"result.67",0.53,0,0.53,0.54
"result.68",0.52,0,0.59,0.59
"result.69",0.5,0,0.5,0.49
"result.70",0.63,0,0.59,0.59
"result.71",0.5,0,0.57,0.57
"result.72",0.47,0,0.54,0.54
"result.73",0.53,0,0.54,0.55
"result.74",0.51,0,0.51,0.51
"result.75",0.49,0,0.61,0.62
"result.76",0.52,0,0.59,0.61
"result.77",0.52,0,0.39,0.39
"result.78",0.47,0,0.47,0.47
"result.79",0.59,0,0.62,0.62
"result.80",0.5,0,0.5,0.47
"result.81",0.58,0,0.56,0.55
"result.82",0.3,0,0.47,0.48
"result.83",0.59,0,0.61,0.61
"result.84",0.56,0,0.58,0.59
"result.85",0.42,0,0.41,0.42
"result.86",0.53,0,0.52,0.51
"result.87",0.47,0,0.48,0.47
"result.88",0.5,0,0.55,0.56
"result.89",0.61,0,0.61,0.61
"result.90",0.6,0,0.6,0.6
"result.91",0.47,0,0.46,0.43
"result.92",0.45,0,0.44,0.44
"result.93",0.42,0,0.5,0.48
"result.94",0.55,0,0.57,0.57
"result.95",0.53,0,0.56,0.54
"result.96",0.48,0,0.6,0.59
"result.97",0.62,0,0.68,0.68
"result.98",0.47,0,0.49,0.5
"result.99",0.4,0,0.4,0.36
"result.100",0.52,0,0.61,0.61
