"","V1","V2","V3","V4"
"result.1",0.53,0,0.5,0.5
"result.2",0.36,0,0.3,0.3
"result.3",0.53,0,0.45,0.48
"result.4",0.49,0,0.53,0.53
"result.5",0.49,0,0.6,0.58
"result.6",0.5,0,0.5,0.49
"result.7",0.55,0,0.53,0.58
"result.8",0.48,0,0.57,0.58
"result.9",0.48,0,0.51,0.51
"result.10",0.42,0,0.48,0.47
"result.11",0.6,0,0.63,0.64
"result.12",0.55,0,0.63,0.63
"result.13",0.55,0,0.61,0.61
"result.14",0.51,0,0.42,0.42
"result.15",0.54,0,0.41,0.41
"result.16",0.5,0,0.61,0.61
"result.17",0.55,0,0.58,0.57
"result.18",0.44,0,0.43,0.43
"result.19",0.56,0,0.51,0.51
"result.20",0.45,0,0.45,0.45
"result.21",0.61,0,0.68,0.67
"result.22",0.52,0,0.52,0.5
"result.23",0.49,0,0.57,0.57
"result.24",0.63,0,0.62,0.61
"result.25",0.51,0,0.56,0.56
"result.26",0.56,0,0.58,0.59
"result.27",0.51,0,0.56,0.58
"result.28",0.51,0,0.52,0.49
"result.29",0.5,0,0.62,0.61
"result.30",0.58,0,0.53,0.52
"result.31",0.6,0,0.63,0.62
"result.32",0.6,0,0.61,0.57
"result.33",0.51,0,0.55,0.53
"result.34",0.52,0,0.67,0.68
"result.35",0.58,0,0.6,0.6
"result.36",0.5,0,0.69,0.69
"result.37",0.51,0,0.62,0.61
"result.38",0.53,0,0.53,0.53
"result.39",0.66,0,0.69,0.69
"result.40",0.52,0,0.51,0.51
"result.41",0.54,0,0.63,0.63
"result.42",0.53,0,0.52,0.53
"result.43",0.46,0,0.56,0.56
"result.44",0.55,0,0.55,0.57
"result.45",0.61,0,0.53,0.53
"result.46",0.58,0,0.67,0.67
"result.47",0.56,0,0.56,0.56
"result.48",0.59,0,0.48,0.49
"result.49",0.62,0,0.61,0.62
"result.50",0.51,0,0.51,0.52
"result.51",0.55,0,0.58,0.59
"result.52",0.55,0,0.61,0.62
"result.53",0.54,0,0.51,0.51
"result.54",0.5,0,0.54,0.58
"result.55",0.6,0,0.58,0.58
"result.56",0.68,0,0.54,0.51
"result.57",0.6,0,0.66,0.66
"result.58",0.52,0,0.55,0.55
"result.59",0.54,0,0.54,0.54
"result.60",0.63,0,0.64,0.64
"result.61",0.62,0,0.69,0.69
"result.62",0.5,0,0.53,0.52
"result.63",0.58,0,0.51,0.51
"result.64",0.47,0,0.5,0.5
"result.65",0.61,0,0.63,0.64
"result.66",0.56,0,0.56,0.56
"result.67",0.62,0,0.62,0.62
"result.68",0.59,0,0.58,0.59
"result.69",0.59,0,0.66,0.66
"result.70",0.48,0,0.52,0.51
"result.71",0.66,0,0.68,0.68
"result.72",0.54,0,0.62,0.63
"result.73",0.5,0,0.6,0.61
"result.74",0.61,0,0.63,0.64
"result.75",0.63,0,0.63,0.63
"result.76",0.6,0,0.64,0.63
"result.77",0.56,0,0.59,0.58
"result.78",0.52,0,0.52,0.52
"result.79",0.52,0,0.58,0.59
"result.80",0.47,0,0.56,0.58
"result.81",0.47,0,0.44,0.43
"result.82",0.59,0,0.58,0.57
"result.83",0.5,0,0.42,0.43
"result.84",0.61,0,0.57,0.57
"result.85",0.48,0,0.64,0.64
"result.86",0.61,0,0.77,0.77
"result.87",0.54,0,0.58,0.57
"result.88",0.45,0,0.41,0.41
"result.89",0.5,0,0.57,0.56
"result.90",0.52,0,0.54,0.55
"result.91",0.57,0,0.63,0.63
"result.92",0.49,0,0.53,0.52
"result.93",0.5,0,0.54,0.54
"result.94",0.63,0,0.64,0.64
"result.95",0.61,0,0.64,0.64
"result.96",0.54,0,0.35,0.35
"result.97",0.62,0,0.62,0.63
"result.98",0.51,0,0.51,0.52
"result.99",0.43,0,0.46,0.47
"result.100",0.51,0,0.52,0.57
