"","V1","V2","V3","V4"
"result.1",0,0,0.0833333333333333,0.0967741935483871
"result.2",0,0,0.0185185185185185,0.06
"result.3",0,0,0.09375,0.0769230769230769
"result.4",0,0,0.0192307692307692,0.0714285714285714
"result.5",0,0,0.136986301369863,0.140625
"result.6",0,0,0.0425531914893617,0.0652173913043478
"result.7",0,0,0.134328358208955,0.101694915254237
"result.8",0,0,0.0363636363636364,0.106060606060606
"result.9",0,0,0.0727272727272727,0.107142857142857
"result.10",0,0,0.0754716981132075,0.0277777777777778
"result.11",0,0,0.135135135135135,0.0526315789473684
"result.12",0,0,0.04,0.0566037735849057
"result.13",0,0,0.0566037735849057,0.112903225806452
"result.14",0,0,0.160493827160494,0.2125
"result.15",0,0,0.125,0.0925925925925926
"result.16",0,0,0.0166666666666667,0.05
"result.17",0,0,0.0491803278688525,0.0263157894736842
"result.18",0,0,0.228571428571429,0.140625
"result.19",0,0,0.125,0.202702702702703
"result.20",0,0,0.0666666666666667,0.109375
"result.21",0,0,0.0566037735849057,0.0526315789473684
"result.22",0,0,0.123287671232877,0.0363636363636364
"result.23",0,0,0.166666666666667,0.0980392156862745
"result.24",0,0,0.0857142857142857,0.06
"result.25",0,0,0.0535714285714286,0.04
"result.26",0,0,0.111111111111111,0.0833333333333333
"result.27",0,0,0.0377358490566038,0.142857142857143
"result.28",0,0,0.0833333333333333,0.0869565217391304
"result.29",0,0,0.109375,0.06
"result.30",0,0,0.0454545454545455,0
"result.31",0,0,0.0178571428571429,0
"result.32",0,0,0.0476190476190476,0.0555555555555556
"result.33",0,0,0.0754716981132075,0.0833333333333333
"result.34",0,0,0.140625,0.0285714285714286
"result.35",0,0,0.0444444444444444,0.025
"result.36",0,0,0.0806451612903226,0.0238095238095238
"result.37",0,0,0.0923076923076923,0.126984126984127
"result.38",0,0,0.0833333333333333,0.0869565217391304
"result.39",0,0,0.197368421052632,0.037037037037037
"result.40",0,0,0.0819672131147541,0.131147540983607
"result.41",0,0,0.0655737704918033,0.0909090909090909
"result.42",0.032258064516129,0,0.0344827586206897,0.0862068965517241
"result.43",0,0,0.0377358490566038,0.114754098360656
"result.44",0,0,0.162162162162162,0.145833333333333
"result.45",0,0,0.0384615384615385,0.0217391304347826
"result.46",0,0,0.0689655172413793,0.027027027027027
"result.47",0,0,0.121621621621622,0.0727272727272727
"result.48",0,0,0.087719298245614,0.0540540540540541
"result.49",0,0,0.0222222222222222,0
"result.50",0,0,0.0727272727272727,0.027027027027027
"result.51",0,0,0.037037037037037,0.0425531914893617
"result.52",0,0,0.0967741935483871,0.0727272727272727
"result.53",0,0,0.0793650793650794,0.0819672131147541
"result.54",0,0,0.0483870967741935,0.0566037735849057
"result.55",0,0,0.05,0.0731707317073171
"result.56",0,0,0,0
"result.57",0,0,0.148648648648649,0.0555555555555556
"result.58",0.0555555555555556,0,0.0847457627118644,0.16
"result.59",0,0,0.16,0.142857142857143
"result.60",0,0,0,0.03125
"result.61",0,0,0.112676056338028,0.075
"result.62",0,0,0.05,0.0204081632653061
"result.63",0,0,0.0892857142857143,0.109090909090909
"result.64",0,0,0.123456790123457,0.131147540983607
"result.65",0,0,0.134615384615385,0.152173913043478
"result.66",0,0,0.0754716981132075,0.0892857142857143
"result.67",0,0,0.177777777777778,0.144736842105263
"result.68",0,0,0.123287671232877,0.111111111111111
"result.69",0,0,0.0714285714285714,0.0909090909090909
"result.70",0,0,0.0681818181818182,0.0256410256410256
"result.71",0,0,0.0967741935483871,0.145454545454545
"result.72",0,0,0.111111111111111,0.185185185185185
"result.73",0,0,0.0384615384615385,0.0454545454545455
"result.74",0,0,0.0681818181818182,0.111111111111111
"result.75",0,0,0.114754098360656,0.22972972972973
"result.76",0,0,0.111111111111111,0.157142857142857
"result.77",0,0,0.136363636363636,0.0909090909090909
"result.78",0,0,0.075,0.12
"result.79",0,0,0.180555555555556,0.2
"result.80",0,0,0.173333333333333,0.0606060606060606
"result.81",0,0,0.246913580246914,0.161290322580645
"result.82",0,0,0.0357142857142857,0.0833333333333333
"result.83",0,0,0.0769230769230769,0.12962962962963
"result.84",0,0,0.103448275862069,0.228571428571429
"result.85",0,0,0.0444444444444444,0.0465116279069767
"result.86",0,0,0.114754098360656,0.211267605633803
"result.87",0,0,0.0566037735849057,0.0652173913043478
"result.88",0,0,0.06,0.111111111111111
"result.89",0,0,0.112676056338028,0.107142857142857
"result.90",0,0,0.146666666666667,0.134328358208955
"result.91",0,0,0.0983606557377049,0.0769230769230769
"result.92",0,0,0.113207547169811,0.157894736842105
"result.93",0,0,0.160493827160494,0.197530864197531
"result.94",0,0,0,0
"result.95",0,0,0.0952380952380952,0.145454545454545
"result.96",0,0,0.0185185185185185,0
"result.97",0,0,0.169014084507042,0.242857142857143
"result.98",0,0,0.0909090909090909,0.0588235294117647
"result.99",0,0,0.183098591549296,0.0727272727272727
"result.100",0,0,0.0833333333333333,0.0434782608695652
