"","V1","V2","V3","V4"
"result.1",0,0,0.89,0.86
"result.2",0,0,0.9,0.83
"result.3",0.24,0,0.94,0.94
"result.4",0.25,0,0.97,0.91
"result.5",0,0,0.96,0.94
"result.6",0.24,0,0.92,0.91
"result.7",0.21,0,0.93,0.93
"result.8",0,0,0.93,0.89
"result.9",0.2,0,0.9,0.87
"result.10",0,0,0.95,0.92
"result.11",0.22,0,0.92,0.86
"result.12",0,0,0.9,0.85
"result.13",0.27,0,0.95,0.9
"result.14",0,0,0.96,0.89
"result.15",0.33,0,0.97,0.95
"result.16",0,0,0.92,0.84
"result.17",0,0,0.94,0.92
"result.18",0,0,0.91,0.93
"result.19",0,0,0.9,0.87
"result.20",0.23,0,0.87,0.8
"result.21",0,0,0.92,0.89
"result.22",0.24,0,0.92,0.84
"result.23",0.24,0,0.94,0.86
"result.24",0,0,0.9,0.86
"result.25",0.18,0,0.93,0.88
"result.26",0.18,0,0.9,0.89
"result.27",0.23,0,0.94,0.91
"result.28",0,0,0.96,0.91
"result.29",0,0,0.92,0.85
"result.30",0,0,0.97,0.89
"result.31",0.26,0,0.94,0.94
"result.32",0.22,0,0.95,0.92
"result.33",0.21,0,0.96,0.95
"result.34",0.2,0,0.9,0.83
"result.35",0,0,0.9,0.87
"result.36",0,0,0.93,0.87
"result.37",0.23,0,0.99,0.91
"result.38",0.18,0,0.93,0.92
"result.39",0,0,0.93,0.89
"result.40",0.23,0,0.93,0.92
"result.41",0.17,0,0.97,0.93
"result.42",0.12,0,0.96,0.95
"result.43",0.22,0,0.94,0.92
"result.44",0,0,0.96,0.92
"result.45",0,0,0.91,0.91
"result.46",0,0,0.91,0.87
"result.47",0,0,0.89,0.89
"result.48",0.2,0,0.94,0.87
"result.49",0.13,0,0.92,0.89
"result.50",0,0,0.95,0.89
"result.51",0.23,0,0.94,0.91
"result.52",0,0,0.94,0.92
"result.53",0.23,0,0.98,0.95
"result.54",0,0,0.92,0.88
"result.55",0.27,0,0.96,0.9
"result.56",0,0,0.97,0.88
"result.57",0.33,0,0.92,0.84
"result.58",0,0,0.93,0.93
"result.59",0,0,0.8,0.77
"result.60",0,0,0.91,0.88
"result.61",0.18,0,0.91,0.84
"result.62",0.25,0,0.92,0.86
"result.63",0,0,0.89,0.87
"result.64",0,0,0.92,0.87
"result.65",0,0,0.88,0.86
"result.66",0,0,0.93,0.93
"result.67",0.19,0,0.95,0.94
"result.68",0.2,0,0.95,0.88
"result.69",0,0,0.96,0.91
"result.70",0.22,0,0.95,0.93
"result.71",0.24,0,0.97,0.92
"result.72",0.15,0,0.93,0.9
"result.73",0,0,0.9,0.89
"result.74",0.18,0,0.93,0.88
"result.75",0,0,0.92,0.89
"result.76",0,0,0.93,0.91
"result.77",0,0,0.94,0.93
"result.78",0.17,0,0.92,0.89
"result.79",0.23,0,0.94,0.92
"result.80",0.23,0,0.94,0.93
"result.81",0,0,0.92,0.9
"result.82",0.17,0,0.94,0.92
"result.83",0,0,0.93,0.88
"result.84",0,0,0.96,0.91
"result.85",0.26,0,0.92,0.86
"result.86",0,0,0.9,0.8
"result.87",0.17,0,0.97,0.94
"result.88",0.21,0,0.96,0.91
"result.89",0.24,0,0.91,0.87
"result.90",0.21,0,0.94,0.93
"result.91",0,0,0.98,0.96
"result.92",0.23,0,0.95,0.94
"result.93",0,0,0.89,0.86
"result.94",0.14,0,0.91,0.87
"result.95",0.27,0,0.97,0.98
"result.96",0,0,0.93,0.93
"result.97",0,0,0.88,0.83
"result.98",0.17,0,0.96,0.93
"result.99",0,0,0.91,0.93
"result.100",0,0,0.97,0.93
