"","V1","V2","V3","V4"
"result.1",0.59,0.07,0.95,0.95
"result.2",0.5,0.08,0.9,0.9
"result.3",0.53,0.05,0.89,0.89
"result.4",0.53,0.07,0.89,0.89
"result.5",0.49,0.03,0.92,0.92
"result.6",0.49,0.02,0.92,0.92
"result.7",0.57,0.08,0.99,0.99
"result.8",0.6,0.06,0.99,0.99
"result.9",0.6,0.05,0.92,0.92
"result.10",0.55,0.01,0.92,0.92
"result.11",0.53,0.03,0.99,0.98
"result.12",0.43,0.07,0.93,0.93
"result.13",0.58,0.06,1,1
"result.14",0.52,0.03,0.93,0.93
"result.15",0.51,0.07,0.95,0.95
"result.16",0.49,0.03,0.96,0.96
"result.17",0.59,0.04,0.91,0.91
"result.18",0.6,0.09,0.93,0.92
"result.19",0.56,0.07,0.96,0.96
"result.20",0.62,0.07,0.95,0.95
"result.21",0.58,0.13,0.9,0.9
"result.22",0.6,0.04,0.96,0.96
"result.23",0.45,0.05,0.9,0.9
"result.24",0.51,0.08,0.96,0.96
"result.25",0.56,0.04,0.89,0.89
"result.26",0.37,0.02,0.91,0.91
"result.27",0.58,0.05,0.91,0.91
"result.28",0.56,0.04,0.94,0.94
"result.29",0.49,0.05,0.93,0.93
"result.30",0.56,0.03,0.91,0.91
"result.31",0.54,0.04,0.99,0.99
"result.32",0.54,0.03,0.94,0.94
"result.33",0.61,0.09,0.9,0.9
"result.34",0.45,0.07,0.98,0.98
"result.35",0.65,0.06,0.99,0.99
"result.36",0.62,0.05,0.94,0.94
"result.37",0.56,0.01,0.93,0.93
"result.38",0.49,0.07,0.92,0.92
"result.39",0.57,0.06,0.89,0.89
"result.40",0.6,0.07,0.92,0.92
"result.41",0.48,0.05,0.9,0.91
"result.42",0.63,0.06,0.93,0.93
"result.43",0.55,0.02,0.91,0.91
"result.44",0.61,0.09,0.93,0.94
"result.45",0.61,0.04,0.9,0.9
"result.46",0.56,0.06,0.89,0.88
"result.47",0.5,0.05,0.96,0.96
"result.48",0.51,0.05,0.9,0.9
"result.49",0.5,0.07,0.95,0.95
"result.50",0.42,0.04,0.89,0.89
"result.51",0.48,0.03,0.93,0.93
"result.52",0.59,0.04,0.91,0.91
"result.53",0.54,0.05,0.91,0.91
"result.54",0.61,0.02,0.92,0.92
"result.55",0.6,0.01,0.96,0.96
"result.56",0.46,0.07,0.91,0.91
"result.57",0.46,0.05,0.87,0.87
"result.58",0.64,0.06,0.99,0.99
"result.59",0.54,0.05,0.92,0.91
"result.60",0.64,0.04,0.95,0.95
"result.61",0.59,0.03,0.94,0.94
"result.62",0.6,0.07,0.93,0.93
"result.63",0.55,0.03,0.91,0.91
"result.64",0.5,0.08,0.94,0.94
"result.65",0.51,0.06,0.93,0.93
"result.66",0.47,0.05,0.86,0.86
"result.67",0.53,0.04,0.89,0.89
"result.68",0.64,0.09,0.91,0.91
"result.69",0.63,0.05,0.91,0.92
"result.70",0.56,0.02,0.92,0.92
"result.71",0.58,0.03,0.97,0.97
"result.72",0.6,0.03,0.91,0.91
"result.73",0.48,0.02,0.91,0.91
"result.74",0.65,0.04,0.93,0.93
"result.75",0.52,0.05,0.93,0.93
"result.76",0.54,0.11,0.87,0.88
"result.77",0.49,0.06,0.96,0.96
"result.78",0.53,0.05,0.92,0.92
"result.79",0.52,0.09,0.9,0.89
"result.80",0.5,0.06,0.91,0.9
"result.81",0.52,0.03,0.9,0.9
"result.82",0.59,0.09,0.94,0.94
"result.83",0.59,0.11,0.86,0.86
"result.84",0.43,0.04,0.93,0.93
"result.85",0.46,0.05,0.95,0.95
"result.86",0.49,0.05,0.94,0.94
"result.87",0.54,0.03,0.98,0.98
"result.88",0.57,0.03,0.91,0.92
"result.89",0.64,0.05,0.92,0.92
"result.90",0.62,0.06,0.94,0.94
"result.91",0.61,0.05,0.97,0.97
"result.92",0.51,0.04,0.95,0.95
"result.93",0.6,0.04,0.96,0.96
"result.94",0.46,0.03,0.93,0.93
"result.95",0.67,0.04,0.92,0.92
"result.96",0.51,0.04,0.95,0.96
"result.97",0.58,0.05,0.92,0.92
"result.98",0.52,0.06,0.94,0.94
"result.99",0.57,0.06,0.93,0.95
"result.100",0.45,0.05,0.92,0.92
