"","V1","V2","V3","V4"
"result.1",0.46,0,0.51,0.51
"result.2",0.5,0,0.56,0.55
"result.3",0.44,0,0.67,0.63
"result.4",0.54,0,0.6,0.61
"result.5",0.41,0,0.52,0.53
"result.6",0.46,0,0.61,0.63
"result.7",0.47,0,0.61,0.57
"result.8",0.4,0,0.61,0.61
"result.9",0.54,0,0.63,0.68
"result.10",0.52,0,0.6,0.59
"result.11",0.38,0,0.55,0.55
"result.12",0.42,0,0.63,0.64
"result.13",0.42,0,0.51,0.5
"result.14",0.36,0,0.56,0.46
"result.15",0.37,0,0.58,0.58
"result.16",0.41,0,0.61,0.58
"result.17",0.44,0,0.44,0.46
"result.18",0.5,0,0.66,0.66
"result.19",0.49,0,0.56,0.57
"result.20",0.43,0,0.64,0.5
"result.21",0.39,0,0.45,0.46
"result.22",0.33,0,0.35,0.32
"result.23",0.35,0,0.48,0.49
"result.24",0.42,0,0.5,0.53
"result.25",0.37,0,0.57,0.59
"result.26",0.36,0,0.65,0.66
"result.27",0.36,0,0.42,0.43
"result.28",0.46,0,0.52,0.51
"result.29",0.44,0,0.5,0.5
"result.30",0.32,0,0.62,0.6
"result.31",0.3,0,0.57,0.58
"result.32",0.42,0,0.56,0.56
"result.33",0.47,0,0.56,0.62
"result.34",0.33,0,0.56,0.6
"result.35",0.38,0,0.57,0.59
"result.36",0.39,0,0.57,0.57
"result.37",0.59,0,0.75,0.77
"result.38",0.44,0,0.67,0.65
"result.39",0.32,0,0.52,0.5
"result.40",0.41,0,0.55,0.49
"result.41",0.44,0,0.59,0.55
"result.42",0.41,0,0.45,0.43
"result.43",0.37,0,0.46,0.53
"result.44",0.44,0,0.55,0.47
"result.45",0.26,0,0.36,0.35
"result.46",0.45,0,0.49,0.49
"result.47",0.46,0,0.58,0.58
"result.48",0.29,0,0.52,0.54
"result.49",0.4,0,0.59,0.58
"result.50",0.4,0,0.55,0.5
"result.51",0.48,0,0.7,0.71
"result.52",0.42,0,0.57,0.57
"result.53",0.34,0,0.58,0.56
"result.54",0.44,0,0.53,0.57
"result.55",0.46,0,0.63,0.67
"result.56",0.52,0,0.58,0.57
"result.57",0.37,0,0.56,0.54
"result.58",0.5,0,0.66,0.67
"result.59",0.33,0,0.5,0.53
"result.60",0.3,0,0.45,0.42
"result.61",0.39,0,0.46,0.43
"result.62",0.45,0,0.61,0.6
"result.63",0.54,0,0.66,0.67
"result.64",0.47,0,0.55,0.55
"result.65",0.43,0,0.71,0.66
"result.66",0.57,0,0.69,0.68
"result.67",0.38,0,0.56,0.55
"result.68",0.39,0,0.51,0.51
"result.69",0.58,0,0.67,0.67
"result.70",0.34,0,0.38,0.37
"result.71",0.42,0,0.58,0.6
"result.72",0.43,0,0.54,0.54
"result.73",0.45,0,0.59,0.58
"result.74",0.31,0,0.39,0.38
"result.75",0.41,0,0.58,0.63
"result.76",0.43,0,0.59,0.53
"result.77",0.35,0,0.55,0.52
"result.78",0.46,0,0.54,0.55
"result.79",0.38,0,0.6,0.56
"result.80",0.4,0,0.46,0.47
"result.81",0.47,0,0.53,0.53
"result.82",0.37,0,0.47,0.48
"result.83",0.35,0,0.5,0.57
"result.84",0.34,0,0.41,0.47
"result.85",0.37,0,0.52,0.42
"result.86",0.36,0,0.5,0.48
"result.87",0.4,0,0.45,0.46
"result.88",0.47,0,0.55,0.54
"result.89",0.45,0,0.63,0.64
"result.90",0.34,0,0.58,0.59
"result.91",0.47,0,0.65,0.6
"result.92",0.45,0,0.58,0.57
"result.93",0.45,0,0.5,0.51
"result.94",0.24,0,0.51,0.5
"result.95",0.49,0,0.6,0.61
"result.96",0.4,0,0.45,0.43
"result.97",0.36,0,0.58,0.56
"result.98",0.43,0,0.67,0.69
"result.99",0.32,0,0.57,0.57
"result.100",0.44,0,0.57,0.52
