"","V1","V2","V3","V4"
"result.1",0.52,0,0.51,0.51
"result.2",0.37,0,0.29,0.29
"result.3",0.52,0,0.54,0.54
"result.4",0.57,0,0.59,0.59
"result.5",0.58,0,0.6,0.59
"result.6",0.45,0,0.39,0.39
"result.7",0.46,0,0.49,0.48
"result.8",0.54,0,0.63,0.65
"result.9",0.41,0,0.5,0.55
"result.10",0.61,0,0.57,0.57
"result.11",0.52,0,0.53,0.53
"result.12",0.52,0,0.53,0.54
"result.13",0.57,0,0.7,0.69
"result.14",0.56,0,0.52,0.52
"result.15",0.58,0,0.57,0.57
"result.16",0.57,0,0.6,0.6
"result.17",0.63,0,0.51,0.51
"result.18",0.48,0,0.48,0.47
"result.19",0.49,0,0.57,0.57
"result.20",0.47,0,0.58,0.57
"result.21",0.51,0,0.52,0.52
"result.22",0.48,0,0.62,0.59
"result.23",0.49,0,0.57,0.55
"result.24",0.55,0,0.58,0.58
"result.25",0.41,0,0.38,0.41
"result.26",0.49,0,0.64,0.64
"result.27",0.58,0,0.65,0.64
"result.28",0.47,0,0.38,0.4
"result.29",0.58,0,0.62,0.62
"result.30",0.5,0,0.53,0.6
"result.31",0.39,0,0.45,0.43
"result.32",0.54,0,0.51,0.51
"result.33",0.46,0,0.57,0.56
"result.34",0.5,0,0.44,0.45
"result.35",0.54,0,0.6,0.6
"result.36",0.51,0,0.55,0.54
"result.37",0.55,0,0.64,0.64
"result.38",0.42,0,0.46,0.47
"result.39",0.43,0,0.52,0.53
"result.40",0.59,0,0.64,0.64
"result.41",0.56,0,0.56,0.58
"result.42",0.62,0,0.65,0.65
"result.43",0.61,0,0.48,0.45
"result.44",0.52,0,0.44,0.43
"result.45",0.48,0,0.5,0.5
"result.46",0.35,0,0.48,0.48
"result.47",0.6,0,0.64,0.61
"result.48",0.55,0,0.55,0.54
"result.49",0.5,0,0.38,0.38
"result.50",0.48,0,0.52,0.51
"result.51",0.46,0,0.44,0.45
"result.52",0.37,0,0.4,0.39
"result.53",0.53,0,0.59,0.64
"result.54",0.49,0,0.49,0.49
"result.55",0.49,0,0.53,0.55
"result.56",0.44,0,0.54,0.47
"result.57",0.5,0,0.61,0.62
"result.58",0.49,0,0.59,0.57
"result.59",0.56,0,0.56,0.56
"result.60",0.56,0,0.57,0.56
"result.61",0.61,0,0.62,0.63
"result.62",0.5,0,0.5,0.49
"result.63",0.48,0,0.57,0.56
"result.64",0.51,0,0.61,0.6
"result.65",0.61,0,0.63,0.63
"result.66",0.46,0,0.49,0.51
"result.67",0.4,0,0.37,0.37
"result.68",0.49,0,0.5,0.49
"result.69",0.48,0,0.62,0.63
"result.70",0.53,0,0.5,0.51
"result.71",0.59,0,0.55,0.56
"result.72",0.58,0,0.54,0.53
"result.73",0.55,0,0.69,0.68
"result.74",0.48,0,0.48,0.48
"result.75",0.39,0,0.32,0.38
"result.76",0.52,0,0.53,0.54
"result.77",0.5,0,0.48,0.42
"result.78",0.39,0,0.5,0.5
"result.79",0.52,0,0.49,0.49
"result.80",0.44,0,0.48,0.48
"result.81",0.51,0,0.59,0.58
"result.82",0.59,0,0.59,0.57
"result.83",0.61,0,0.73,0.7
"result.84",0.41,0,0.51,0.53
"result.85",0.46,0,0.51,0.51
"result.86",0.45,0,0.45,0.46
"result.87",0.53,0,0.55,0.55
"result.88",0.46,0,0.57,0.59
"result.89",0.42,0,0.42,0.42
"result.90",0.52,0,0.53,0.55
"result.91",0.54,0,0.65,0.65
"result.92",0.56,0,0.56,0.56
"result.93",0.56,0,0.54,0.56
"result.94",0.53,0,0.6,0.6
"result.95",0.56,0,0.64,0.62
"result.96",0.46,0,0.56,0.55
"result.97",0.55,0,0.62,0.6
"result.98",0.49,0,0.41,0.44
"result.99",0.4,0,0.4,0.4
"result.100",0.54,0,0.6,0.61
