"","V1","V2","V3","V4"
"result.1",0.55,0,0.52,0.5
"result.2",0.52,0,0.47,0.49
"result.3",0.56,0,0.56,0.56
"result.4",0.6,0,0.63,0.63
"result.5",0.64,0,0.75,0.74
"result.6",0.6,0,0.56,0.56
"result.7",0.45,0,0.57,0.58
"result.8",0.45,0,0.49,0.49
"result.9",0.64,0,0.65,0.66
"result.10",0.48,0,0.51,0.51
"result.11",0.64,0,0.69,0.69
"result.12",0.38,0,0.27,0.27
"result.13",0.42,0,0.41,0.41
"result.14",0.56,0,0.38,0.39
"result.15",0.62,0,0.76,0.76
"result.16",0.6,0,0.62,0.62
"result.17",0.53,0,0.49,0.5
"result.18",0.58,0,0.58,0.58
"result.19",0.57,0,0.68,0.67
"result.20",0.66,0,0.54,0.52
"result.21",0.47,0,0.52,0.51
"result.22",0.46,0,0.59,0.59
"result.23",0.47,0,0.39,0.4
"result.24",0.57,0,0.55,0.56
"result.25",0.64,0,0.64,0.64
"result.26",0.6,0,0.65,0.65
"result.27",0.5,0,0.53,0.56
"result.28",0.52,0,0.51,0.5
"result.29",0.52,0,0.49,0.49
"result.30",0.45,0,0.58,0.56
"result.31",0.51,0,0.49,0.49
"result.32",0.56,0,0.57,0.58
"result.33",0.53,0,0.48,0.48
"result.34",0.6,0,0.56,0.56
"result.35",0.61,0,0.64,0.64
"result.36",0.58,0,0.62,0.62
"result.37",0.5,0,0.58,0.59
"result.38",0.5,0,0.54,0.54
"result.39",0.48,0,0.54,0.54
"result.40",0.54,0,0.51,0.52
"result.41",0.44,0,0.47,0.46
"result.42",0.54,0,0.55,0.58
"result.43",0.52,0,0.58,0.58
"result.44",0.58,0,0.52,0.52
"result.45",0.53,0,0.56,0.56
"result.46",0.56,0,0.63,0.63
"result.47",0.58,0,0.39,0.39
"result.48",0.6,0,0.64,0.64
"result.49",0.52,0,0.5,0.52
"result.50",0.49,0,0.47,0.49
"result.51",0.47,0,0.32,0.33
"result.52",0.58,0,0.62,0.61
"result.53",0.48,0,0.48,0.48
"result.54",0.62,0,0.63,0.62
"result.55",0.51,0,0.61,0.57
"result.56",0.51,0,0.53,0.53
"result.57",0.44,0,0.4,0.4
"result.58",0.67,0,0.64,0.63
"result.59",0.5,0,0.5,0.5
"result.60",0.51,0,0.62,0.62
"result.61",0.54,0,0.55,0.55
"result.62",0.49,0,0.49,0.49
"result.63",0.61,0,0.61,0.61
"result.64",0.66,0,0.67,0.67
"result.65",0.51,0,0.53,0.53
"result.66",0.51,0,0.49,0.5
"result.67",0.5,0,0.57,0.59
"result.68",0.49,0,0.33,0.34
"result.69",0.55,0,0.55,0.55
"result.70",0.39,0,0.32,0.32
"result.71",0.65,0,0.65,0.65
"result.72",0.59,0,0.59,0.57
"result.73",0.62,0,0.63,0.63
"result.74",0.5,0,0.56,0.56
"result.75",0.49,0,0.64,0.63
"result.76",0.62,0,0.64,0.64
"result.77",0.61,0,0.59,0.58
"result.78",0.56,0,0.61,0.63
"result.79",0.46,0,0.52,0.51
"result.80",0.63,0,0.65,0.65
"result.81",0.57,0,0.63,0.63
"result.82",0.48,0,0.43,0.42
"result.83",0.55,0,0.52,0.5
"result.84",0.62,0,0.35,0.36
"result.85",0.52,0,0.48,0.48
"result.86",0.52,0,0.47,0.47
"result.87",0.5,0,0.51,0.51
"result.88",0.54,0,0.52,0.52
"result.89",0.58,0,0.51,0.51
"result.90",0.5,0,0.46,0.46
"result.91",0.57,0,0.56,0.55
"result.92",0.48,0,0.53,0.53
"result.93",0.64,0,0.56,0.56
"result.94",0.57,0,0.41,0.41
"result.95",0.58,0,0.64,0.64
"result.96",0.43,0,0.6,0.59
"result.97",0.59,0,0.67,0.67
"result.98",0.55,0,0.55,0.55
"result.99",0.51,0,0.6,0.55
"result.100",0.64,0,0.63,0.63
