"","V1","V2","V3","V4"
"result.1",0,0,0.0416666666666667,0.0416666666666667
"result.2",0,0,0.178571428571429,0.178571428571429
"result.3",0,0,0.0652173913043478,0.0444444444444444
"result.4",0,0,0,0
"result.5",0,0,0.2,0.2
"result.6",0,0,0.0416666666666667,0.0416666666666667
"result.7",0,0,0.189655172413793,0.160714285714286
"result.8",0,0,0.0961538461538462,0.0961538461538462
"result.9",0,0,0.0769230769230769,0.0769230769230769
"result.10",0,0,0.0816326530612245,0.0816326530612245
"result.11",0,0,0.0961538461538462,0.0961538461538462
"result.12",0,0,0.1,0.117647058823529
"result.13",0,0,0.142857142857143,0.142857142857143
"result.14",0,0,0.145454545454545,0.160714285714286
"result.15",0,0,0.0625,0.0625
"result.16",0,0,0.156862745098039,0.14
"result.17",0,0,0,0
"result.18",0,0,0.14,0.156862745098039
"result.19",0,0,0.0222222222222222,0.0222222222222222
"result.20",0,0,0.0227272727272727,0.0227272727272727
"result.21",0,0,0.08,0.08
"result.22",0,0,0.0208333333333333,0.0208333333333333
"result.23",0,0,0.0754716981132075,0.0754716981132075
"result.24",0,0,0.145454545454545,0.145454545454545
"result.25",0,0,0.0888888888888889,0.0888888888888889
"result.26",0,0,0.148148148148148,0.148148148148148
"result.27",0,0,0.024390243902439,0.025
"result.28",0,0,0.0925925925925926,0.0925925925925926
"result.29",0,0,0.12962962962963,0.172413793103448
"result.30",0,0,0.0425531914893617,0.117647058823529
"result.31",0,0,0.0476190476190476,0.0465116279069767
"result.32",0,0,0.06,0.0784313725490196
"result.33",0,0,0.12,0.0833333333333333
"result.34",0,0,0.0444444444444444,0.0454545454545455
"result.35",0,0,0.0434782608695652,0.0434782608695652
"result.36",0,0,0.06,0.0784313725490196
"result.37",0,0,0.127272727272727,0.0943396226415094
"result.38",0,0,0.0416666666666667,0.0416666666666667
"result.39",0,0,0.132075471698113,0.0980392156862745
"result.40",0,0,0.0227272727272727,0.0227272727272727
"result.41",0,0,0.181818181818182,0.181818181818182
"result.42",0,0,0,0
"result.43",0,0,0,0
"result.44",0,0,0.226415094339623,0.240740740740741
"result.45",0,0,0.156862745098039,0.156862745098039
"result.46",0,0,0.117647058823529,0.115384615384615
"result.47",0,0,0.122448979591837,0.122448979591837
"result.48",0,0,0.0454545454545455,0.0465116279069767
"result.49",0,0,0.0222222222222222,0.0444444444444444
"result.50",0,0,0.148148148148148,0.163636363636364
"result.51",0,0,0.142857142857143,0.111111111111111
"result.52",0,0,0.0816326530612245,0.0816326530612245
"result.53",0,0,0.0434782608695652,0.0434782608695652
"result.54",0,0,0.117647058823529,0.134615384615385
"result.55",0,0,0.16,0.145833333333333
"result.56",0,0,0.183333333333333,0.169491525423729
"result.57",0,0,0.0227272727272727,0.0222222222222222
"result.58",0,0,0.0888888888888889,0.0681818181818182
"result.59",0,0,0.0227272727272727,0.0227272727272727
"result.60",0,0,0.0454545454545455,0.0666666666666667
"result.61",0,0,0.134615384615385,0.117647058823529
"result.62",0,0,0.106382978723404,0.106382978723404
"result.63",0,0,0.0980392156862745,0.08
"result.64",0,0,0.241935483870968,0.216666666666667
"result.65",0,0,0.178571428571429,0.178571428571429
"result.66",0,0,0.127272727272727,0.0943396226415094
"result.67",0,0,0.0227272727272727,0.0227272727272727
"result.68",0,0,0.117647058823529,0.117647058823529
"result.69",0,0,0.232142857142857,0.203703703703704
"result.70",0,0,0.127272727272727,0.127272727272727
"result.71",0,0,0.166666666666667,0.166666666666667
"result.72",0,0,0.0980392156862745,0.0980392156862745
"result.73",0,0,0.127272727272727,0.142857142857143
"result.74",0,0,0.140350877192982,0.140350877192982
"result.75",0,0,0.0980392156862745,0.08
"result.76",0,0,0.0769230769230769,0.0588235294117647
"result.77",0,0,0.08,0.0612244897959184
"result.78",0,0,0.08,0.0416666666666667
"result.79",0,0,0.0454545454545455,0.0465116279069767
"result.80",0,0,0.153846153846154,0.102040816326531
"result.81",0,0,0.0697674418604651,0.0238095238095238
"result.82",0,0,0.109090909090909,0.109090909090909
"result.83",0,0,0.0681818181818182,0.0697674418604651
"result.84",0,0,0.12,0.137254901960784
"result.85",0,0,0.232142857142857,0.232142857142857
"result.86",0,0,0.137254901960784,0.169811320754717
"result.87",0,0,0.160714285714286,0.160714285714286
"result.88",0,0,0.0980392156862745,0.0425531914893617
"result.89",0,0,0,0
"result.90",0,0,0.0980392156862745,0.0980392156862745
"result.91",0,0,0.0652173913043478,0.0652173913043478
"result.92",0,0,0.229508196721311,0.216666666666667
"result.93",0,0,0.150943396226415,0.181818181818182
"result.94",0,0,0,0
"result.95",0,0,0.0576923076923077,0.0576923076923077
"result.96",0,0,0.137931034482759,0.12280701754386
"result.97",0,0,0.0980392156862745,0.08
"result.98",0,0,0.0980392156862745,0.115384615384615
"result.99",0,0,0.176470588235294,0.176470588235294
"result.100",0,0,0.0625,0.0625
