"","V1","V2","V3","V4"
"result.1",0.65,0,0.97,0.97
"result.2",0.59,0,0.965,0.965
"result.3",0.57,0,0.935,0.935
"result.4",0.6,0,0.935,0.935
"result.5",0.565,0,0.955,0.95
"result.6",0.565,0,0.92,0.93
"result.7",0.55,0,0.955,0.955
"result.8",0.68,0,0.95,0.95
"result.9",0.7,0,0.95,0.95
"result.10",0.56,0,0.925,0.92
"result.11",0.53,0,0.94,0.935
"result.12",0.56,0,0.97,0.97
"result.13",0.57,0,0.91,0.905
"result.14",0.56,0,0.935,0.945
"result.15",0.57,0,0.95,0.955
"result.16",0.595,0,0.985,0.985
"result.17",0.555,0,0.935,0.94
"result.18",0.645,0,0.93,0.93
"result.19",0.59,0,0.92,0.92
"result.20",0.6,0,0.955,0.955
"result.21",0.645,0,0.96,0.96
"result.22",0.59,0,0.925,0.925
"result.23",0.585,0,0.94,0.945
"result.24",0.64,0,0.95,0.95
"result.25",0.64,0,0.965,0.965
"result.26",0.565,0,0.965,0.965
"result.27",0.595,0,0.945,0.945
"result.28",0.61,0,0.925,0.925
"result.29",0.605,0,0.97,0.97
"result.30",0.545,0,0.915,0.915
"result.31",0.6,0,0.945,0.945
"result.32",0.58,0,0.92,0.92
"result.33",0.63,0,0.945,0.945
"result.34",0.61,0,0.955,0.955
"result.35",0.53,0,0.945,0.945
"result.36",0.575,0,0.97,0.975
"result.37",0.625,0,0.945,0.94
"result.38",0.64,0,0.965,0.965
"result.39",0.615,0,0.96,0.96
"result.40",0.64,0,0.94,0.935
"result.41",0.605,0,0.935,0.935
"result.42",0.585,0,0.94,0.94
"result.43",0.58,0,0.955,0.955
"result.44",0.56,0,0.945,0.95
"result.45",0.6,0,0.96,0.96
"result.46",0.61,0,0.95,0.95
"result.47",0.585,0,0.95,0.945
"result.48",0.56,0,0.905,0.9
"result.49",0.61,0,0.93,0.925
"result.50",0.615,0,0.98,0.98
"result.51",0.575,0,0.94,0.935
"result.52",0.64,0,0.955,0.955
"result.53",0.68,0,0.96,0.955
"result.54",0.605,0,0.955,0.955
"result.55",0.605,0,0.95,0.95
"result.56",0.565,0,0.955,0.95
"result.57",0.51,0,0.945,0.945
"result.58",0.585,0,0.96,0.96
"result.59",0.615,0,0.96,0.96
"result.60",0.59,0,0.94,0.935
"result.61",0.59,0,0.94,0.94
"result.62",0.555,0,0.95,0.94
"result.63",0.575,0,0.925,0.925
"result.64",0.56,0,0.95,0.95
"result.65",0.61,0,0.94,0.94
"result.66",0.555,0,0.975,0.975
"result.67",0.525,0,0.935,0.935
"result.68",0.615,0,0.94,0.945
"result.69",0.58,0,0.93,0.935
"result.70",0.58,0,0.95,0.95
"result.71",0.59,0,0.96,0.965
"result.72",0.64,0,0.965,0.965
"result.73",0.57,0,0.945,0.935
"result.74",0.555,0,0.965,0.965
"result.75",0.625,0,0.96,0.96
"result.76",0.505,0,0.945,0.935
"result.77",0.575,0,0.935,0.935
"result.78",0.605,0,0.95,0.96
"result.79",0.605,0,0.94,0.94
"result.80",0.6,0,0.975,0.97
"result.81",0.65,0,0.955,0.955
"result.82",0.525,0,0.94,0.94
"result.83",0.6,0,0.945,0.94
"result.84",0.65,0,0.985,0.985
"result.85",0.61,0,0.91,0.91
"result.86",0.58,0,0.96,0.96
"result.87",0.59,0,0.945,0.94
"result.88",0.56,0,0.96,0.96
"result.89",0.61,0,0.945,0.945
"result.90",0.605,0,0.95,0.95
"result.91",0.58,0,0.94,0.945
"result.92",0.555,0,0.945,0.95
"result.93",0.53,0,0.96,0.96
"result.94",0.565,0,0.94,0.935
"result.95",0.565,0,0.925,0.925
"result.96",0.63,0,0.925,0.92
"result.97",0.48,0,0.955,0.955
"result.98",0.61,0,0.965,0.965
"result.99",0.635,0,0.97,0.97
"result.100",0.52,0,0.925,0.92
