"","V1","V2","V3","V4"
"result.1",0.5,0,0.56,0.5
"result.2",0.46,0,0.44,0.44
"result.3",0.48,0,0,0
"result.4",0.34,0,0.5,0.5
"result.5",0.54,0,0,0
"result.6",0.64,0,0.62,0.62
"result.7",0.32,0,0,0
"result.8",0.44,0,0,0
"result.9",0.46,0,0.52,0.54
"result.10",0.48,0,0.56,0.56
"result.11",0.36,0,0,0
"result.12",0.32,0,0,0
"result.13",0.6,0,0.54,0.52
"result.14",0.3,0,0.4,0.36
"result.15",0.26,0,0,0
"result.16",0.48,0,0.54,0.54
"result.17",0.38,0,0.42,0.42
"result.18",0.28,0,0,0
"result.19",0.52,0,0.52,0.48
"result.20",0.36,0,0.48,0.46
"result.21",0.62,0,0.62,0.62
"result.22",0.36,0,0,0
"result.23",0.42,0,0.42,0.42
"result.24",0.4,0,0.52,0.52
"result.25",0.46,0,0.5,0.5
"result.26",0.42,0,0.48,0.46
"result.27",0.38,0,0.38,0.46
"result.28",0.6,0,0.6,0.58
"result.29",0.32,0,0.44,0.44
"result.30",0.38,0,0.5,0.5
"result.31",0.58,0,0.58,0.58
"result.32",0.44,0,0.5,0.5
"result.33",0.42,0,0,0
"result.34",0.24,0,0.5,0.5
"result.35",0.52,0,0.56,0.56
"result.36",0.38,0,0.38,0.38
"result.37",0.5,0,0.5,0.48
"result.38",0.4,0,0.38,0.38
"result.39",0.54,0,0.48,0.48
"result.40",0.38,0,0,0.38
"result.41",0.32,0,0.38,0.42
"result.42",0.46,0,0.42,0.44
"result.43",0.58,0,0,0.6
"result.44",0.38,0,0,0
"result.45",0.38,0,0.42,0.4
"result.46",0.44,0,0.46,0.44
"result.47",0.54,0,0.56,0.58
"result.48",0.42,0,0,0
"result.49",0.44,0,0.6,0.52
"result.50",0.44,0,0.62,0.62
"result.51",0.56,0,0.52,0.52
"result.52",0.54,0,0.54,0.54
"result.53",0.42,0,0.44,0.42
"result.54",0.42,0,0.68,0.7
"result.55",0.28,0,0,0
"result.56",0.44,0,0.44,0.44
"result.57",0.54,0,0.6,0.56
"result.58",0.44,0,0.44,0.44
"result.59",0.52,0,0,0
"result.60",0.52,0,0.56,0.54
"result.61",0.42,0,0,0
"result.62",0.22,0,0,0
"result.63",0.36,0,0.52,0.54
"result.64",0.34,0,0,0
"result.65",0.46,0,0,0
"result.66",0.38,0,0,0
"result.67",0.62,0,0.72,0.72
"result.68",0.3,0,0,0
"result.69",0.48,0,0.52,0.52
"result.70",0.36,0,0.5,0.48
"result.71",0.4,0,0.48,0.46
"result.72",0.3,0,0,0
"result.73",0.4,0,0.48,0.48
"result.74",0.52,0,0.48,0.46
"result.75",0.54,0,0.52,0.54
"result.76",0.44,0,0.52,0.52
"result.77",0.46,0,0,0
"result.78",0.58,0,0.72,0.66
"result.79",0.4,0,0,0.4
"result.80",0.36,0,0,0.38
"result.81",0.38,0,0.46,0.48
"result.82",0.46,0,0.56,0.54
"result.83",0.42,0,0.4,0.42
"result.84",0.46,0,0.52,0.54
"result.85",0.48,0,0.42,0.42
"result.86",0.54,0,0.46,0
"result.87",0.62,0,0,0
"result.88",0.38,0,0.52,0.54
"result.89",0.36,0,0,0
"result.90",0.38,0,0.38,0.38
"result.91",0.36,0,0,0.38
"result.92",0.46,0,0.46,0.46
"result.93",0.32,0,0.34,0.36
"result.94",0.38,0,0.62,0.62
"result.95",0.56,0,0.58,0.58
"result.96",0.56,0,0.56,0.56
"result.97",0.54,0,0.56,0.56
"result.98",0.48,0,0.42,0.46
"result.99",0.42,0,0.42,0.42
"result.100",0.44,0,0.54,0.56
